"id","name","warehouse_id","scheduled_at","delivered_at","quantity","status","supplier","notes","created_at"
"1aaba876-0f97-47d4-958c-7b3b54fc1197_D","Delivery plan 1aaba876-0f97-47d4-958c-7b3b54fc1197","1c21be0f-7a41-4fd2-98f6-829a3308a50a","2025-11-07 01:19:14.881675+00","2025-11-10 00:57:26.670563+00",60,"delivered","Auto replenish to optimal","Replenish to optimal after shipment 8bddbca3-465d-4773-a678-0160fd21d49b","2025-11-10 00:57:26.670994+00"
"5be9d3d9-1cfd-43c1-9c48-29bc6347fca2_D","Delivery plan 5be9d3d9-1cfd-43c1-9c48-29bc6347fca2","1c21be0f-7a41-4fd2-98f6-829a3308a50a","2025-11-07 00:49:01.131942+00","2025-11-10 00:57:26.670563+00",60,"delivered","Auto replenish to optimal","Replenish to optimal after shipment 8caf3036-62e9-482d-af72-c931835fe627","2025-11-10 00:58:28.866491+00"
"7c67d897-b431-4ab6-90e8-65e1f7f74ede_D","Delivery plan 7c67d897-b431-4ab6-90e8-65e1f7f74ede","1c21be0f-7a41-4fd2-98f6-829a3308a50a","2025-11-07 01:19:14.881675+00","2025-11-10 00:57:26.670563+00",62,"delivered","Auto replenish to optimal","Replenish to optimal after shipment 8bddbca3-465d-4773-a678-0160fd21d49b","2025-11-10 00:59:35.203322+00"
"20bcd991-056e-42bb-b6e5-ca376430bc6b_D","Delivery plan 20bcd991-056e-42bb-b6e5-ca376430bc6b","1c21be0f-7a41-4fd2-98f6-829a3308a50a","2025-11-10 04:39:23.10738+00","2025-11-10 05:06:38.872458+00",60,"delivered","Auto replenish to optimal","Replenish to optimal after shipment 60aa7d03-86ae-47ff-acb2-58ed8dbc1219","2025-11-10 05:06:38.872911+00"
"8f588616-ad09-4a53-b4d6-56fd53e609d4_D","Delivery plan 8f588616-ad09-4a53-b4d6-56fd53e609d4","1c21be0f-7a41-4fd2-98f6-829a3308a50a","2025-11-10 04:58:33.546311+00","2025-11-10 05:06:38.872458+00",62,"delivered","Auto replenish to optimal","Replenish to optimal after shipment a84ff58f-9c2d-490c-a4ff-1c3d7c93c3a6","2025-11-10 05:07:47.891605+00"
"1deb8860-83bc-4261-bd1a-3d160e117fbb_D","Delivery plan 1deb8860-83bc-4261-bd1a-3d160e117fbb","1c21be0f-7a41-4fd2-98f6-829a3308a50a","2025-11-10 06:08:19.943811+00","2025-11-10 06:36:38.80627+00",60,"delivered","Auto replenish to optimal","Replenish to optimal after shipment 5f773dba-da9c-4dbd-a1ef-d7ab129d18ef","2025-11-10 06:36:38.807297+00"
"2e07a7be-f90b-4b74-bc15-55669bb181a4_D","Delivery plan 2e07a7be-f90b-4b74-bc15-55669bb181a4","1c21be0f-7a41-4fd2-98f6-829a3308a50a","2025-11-10 09:07:30.402991+00","2025-11-10 09:34:17.589953+00",64,"delivered","Auto replenish to optimal","Replenish to optimal after shipment 8794546b-11d5-465d-9bdf-e91ce2c8159f","2025-11-10 09:34:17.590311+00"
"034887ec-0f9e-4302-adef-cbdd6a88e3db_D","Delivery plan 034887ec-0f9e-4302-adef-cbdd6a88e3db","1c21be0f-7a41-4fd2-98f6-829a3308a50a","2025-11-10 10:53:18.204594+00","2025-11-10 11:04:31.791589+00",62,"delivered","Auto replenish to optimal","Replenish to optimal after shipment 0317b306-e96b-4f00-9b15-9e25df523d76","2025-11-10 11:04:31.792046+00"
"76198f23-6e9e-4be1-bbb5-7b80aaec6c61_D","Delivery plan 76198f23-6e9e-4be1-bbb5-7b80aaec6c61","1c21be0f-7a41-4fd2-98f6-829a3308a50a","2025-11-10 12:07:18.120173+00","2025-11-10 12:34:38.020599+00",63,"delivered","Auto replenish to optimal","Replenish to optimal after shipment 6abcf53f-462f-41e7-838a-5639c0e29bea","2025-11-10 12:34:38.021001+00"
"80ed09f0-0663-4b55-950a-892d6c2dfe84_D","Delivery plan 80ed09f0-0663-4b55-950a-892d6c2dfe84","1c21be0f-7a41-4fd2-98f6-829a3308a50a","2025-11-10 12:38:21.650135+00","2025-11-10 13:04:21.650296+00",60,"delivered","Auto replenish to optimal","Replenish to optimal after shipment e0512746-f9f2-41b1-a9bd-e72361919ab7","2025-11-10 13:04:21.651469+00"
