id,delivery_id,product_id,warehouse_id,ordered_quantity,fact_quantity,created_at
1aaba876-0f97-47d4-958c-7b3b54fc1197_DI,1aaba876-0f97-47d4-958c-7b3b54fc1197_D,1b0db854-2631-4d3a-8c49-633178593431,1c21be0f-7a41-4fd2-98f6-829a3308a50a,60,60,2025-11-07 01:15:14.882313+00
5be9d3d9-1cfd-43c1-9c48-29bc6347fca2_DI,5be9d3d9-1cfd-43c1-9c48-29bc6347fca2_D,1cd3add8-961f-4117-8e10-b56e63ad93da,1c21be0f-7a41-4fd2-98f6-829a3308a50a,60,60,2025-11-07 00:45:01.132959+00
7c67d897-b431-4ab6-90e8-65e1f7f74ede_DI,7c67d897-b431-4ab6-90e8-65e1f7f74ede_D,56e5261e-2e8f-4a05-a931-8e9441cf8c09,1c21be0f-7a41-4fd2-98f6-829a3308a50a,62,62,2025-11-07 01:15:14.882313+00
20bcd991-056e-42bb-b6e5-ca376430bc6b_DI,20bcd991-056e-42bb-b6e5-ca376430bc6b_D,1b0db854-2631-4d3a-8c49-633178593431,1c21be0f-7a41-4fd2-98f6-829a3308a50a,60,60,2025-11-10 04:35:23.13639+00
8f588616-ad09-4a53-b4d6-56fd53e609d4_DI,8f588616-ad09-4a53-b4d6-56fd53e609d4_D,1cd3add8-961f-4117-8e10-b56e63ad93da,1c21be0f-7a41-4fd2-98f6-829a3308a50a,62,62,2025-11-10 04:54:33.569776+00
1deb8860-83bc-4261-bd1a-3d160e117fbb_DI,1deb8860-83bc-4261-bd1a-3d160e117fbb_D,56e5261e-2e8f-4a05-a931-8e9441cf8c09,1c21be0f-7a41-4fd2-98f6-829a3308a50a,60,60,2025-11-10 06:04:19.944973+00
2e07a7be-f90b-4b74-bc15-55669bb181a4_DI,2e07a7be-f90b-4b74-bc15-55669bb181a4_D,be45d43c-1594-493b-a71d-a689f504f6b7,1c21be0f-7a41-4fd2-98f6-829a3308a50a,64,64,2025-11-10 09:03:30.403447+00
034887ec-0f9e-4302-adef-cbdd6a88e3db_DI,034887ec-0f9e-4302-adef-cbdd6a88e3db_D,1b0db854-2631-4d3a-8c49-633178593431,1c21be0f-7a41-4fd2-98f6-829a3308a50a,62,62,2025-11-10 10:49:18.205734+00
76198f23-6e9e-4be1-bbb5-7b80aaec6c61_DI,76198f23-6e9e-4be1-bbb5-7b80aaec6c61_D,56e5261e-2e8f-4a05-a931-8e9441cf8c09,1c21be0f-7a41-4fd2-98f6-829a3308a50a,63,63,2025-11-10 12:03:18.121299+00
80ed09f0-0663-4b55-950a-892d6c2dfe84_DI,80ed09f0-0663-4b55-950a-892d6c2dfe84_D,1cd3add8-961f-4117-8e10-b56e63ad93da,1c21be0f-7a41-4fd2-98f6-829a3308a50a,60,60,2025-11-10 12:34:21.650992+00
34ca221f-4f76-40d7-8a11-8abfef40f150_DI_28e99b,34ca221f-4f76-40d7-8a11-8abfef40f150_D,a485899c-e7a0-4bc5-a465-de6f400fd795,1c21be0f-7a41-4fd2-98f6-829a3308a50a,46,43,2025-01-13T14:00:00+00:00
34ca221f-4f76-40d7-8a11-8abfef40f150_DI_62594b,34ca221f-4f76-40d7-8a11-8abfef40f150_D,1e39e796-66f7-4d3a-afe7-9b0d279187c3,1c21be0f-7a41-4fd2-98f6-829a3308a50a,10,9,2025-01-13T14:00:00+00:00
34ca221f-4f76-40d7-8a11-8abfef40f150_DI_240bd7,34ca221f-4f76-40d7-8a11-8abfef40f150_D,d8c46f59-b79f-41db-8a7d-b81e1c2e9da7,1c21be0f-7a41-4fd2-98f6-829a3308a50a,40,39,2025-01-13T14:00:00+00:00
