id,product_id,robot_id,warehouse_id,current_zone,current_row,current_shelf,name,category,article,stock,min_stock,optimal_stock,status,created_at
ih_23ff845ede9c,4e5a9f30-f665-40a3-b15c-a6e9cf7250b6,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,A,Apple MacBook Pro 14 (M3),Ноутбуки,APНО-809570,99,20,80,ok,2025-11-05 02:07:43.767607+00
ih_827e29e1fbf2,d46a2f93-7b7b-4c07-841d-c693b27b6281,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,A,Asus Zenbook 14 OLED (UX3405),Ноутбуки,ASНО-343962,99,20,80,ok,2025-11-05 02:07:50.781776+00
ih_4aff19319c5c,50d2595c-facf-4bfa-a1c3-bddb3abcdc09,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,B,OnePlus 12,Смартфоны,ONСМ-539898,100,20,80,ok,2025-11-05 02:07:57.530362+00
ih_ac19c50de441,e9247ff6-ec11-4167-b876-18dbba8698ca,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,B,Xiaomi Redmi Note 13 Pro,Смартфоны,XIСМ-182627,100,20,80,ok,2025-11-05 02:08:04.225474+00
ih_7f4dc69e3063,e5157182-a738-4780-9219-15c4d2243fb1,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,12,B,Samsung Galaxy S24,Смартфоны,SAСМ-897549,100,20,80,ok,2025-11-05 02:08:10.96637+00
ih_6f533b5c2dc0,0cb000ff-0363-416a-98db-fd6219a79605,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,100,20,80,ok,2025-11-05 02:08:18.796086+00
ih_d7a3263410dc,ef365d0c-803e-40be-921d-b22b54707e7d,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,D,Logitech G502 X Lightspeed,Мыши,LOМЫ-399105,100,20,80,ok,2025-11-05 02:08:25.589473+00
ih_2395bdcc378b,4e5a9f30-f665-40a3-b15c-a6e9cf7250b6,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,A,Apple MacBook Pro 14 (M3),Ноутбуки,APНО-809570,99,20,80,ok,2025-11-05 02:08:33.45064+00
ih_47b6f37a0ad7,50d2595c-facf-4bfa-a1c3-bddb3abcdc09,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,B,OnePlus 12,Смартфоны,ONСМ-539898,100,20,80,ok,2025-11-05 02:08:40.341878+00
ih_963eca888f85,d46a2f93-7b7b-4c07-841d-c693b27b6281,KFKH,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,A,Asus Zenbook 14 OLED (UX3405),Ноутбуки,ASНО-343962,99,20,80,ok,2025-11-05 02:08:44.940482+00
ih_0cbf524d30f6,e9247ff6-ec11-4167-b876-18dbba8698ca,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,B,Xiaomi Redmi Note 13 Pro,Смартфоны,XIСМ-182627,100,20,80,ok,2025-11-05 02:08:53.17999+00
ih_7b8fe4ca511f,e5157182-a738-4780-9219-15c4d2243fb1,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,12,B,Samsung Galaxy S24,Смартфоны,SAСМ-897549,100,20,80,ok,2025-11-05 02:09:00.404118+00
ih_173707ab3ad1,0cb000ff-0363-416a-98db-fd6219a79605,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,100,20,80,ok,2025-11-05 02:09:08.094+00
ih_7ec176adae95,ef365d0c-803e-40be-921d-b22b54707e7d,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,D,Logitech G502 X Lightspeed,Мыши,LOМЫ-399105,100,20,80,ok,2025-11-05 02:09:14.731987+00
ih_915ded738ad6,4e5a9f30-f665-40a3-b15c-a6e9cf7250b6,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,A,Apple MacBook Pro 14 (M3),Ноутбуки,APНО-809570,99,20,80,ok,2025-11-05 02:09:23.72226+00
