id,name,category,article,stock,min_stock,optimal_stock,current_zone,current_row,current_shelf,status,last_scanned_at,warehouse_id,created_at
0cb000ff-0363-416a-98db-fd6219a79605,Apple Magic Mouse 2,Мыши,APМЫ-272634,0,20,80,A,10,D,critical,2025-11-10 13:52:33.407046+00,68db2e0c-1613-41ae-a22c-4959cbb08fe6,2025-11-05 02:05:34.075891+00
d46a2f93-7b7b-4c07-841d-c693b27b6281,Asus Zenbook 14 OLED (UX3405),Ноутбуки,ASНО-343962,0,20,80,A,11,A,critical,2025-11-10 13:56:03.830724+00,68db2e0c-1613-41ae-a22c-4959cbb08fe6,2025-11-05 02:02:14.251571+00
e9247ff6-ec11-4167-b876-18dbba8698ca,Xiaomi Redmi Note 13 Pro,Смартфоны,XIСМ-182627,0,20,80,A,11,B,critical,2025-11-10 13:36:59.11092+00,68db2e0c-1613-41ae-a22c-4959cbb08fe6,2025-11-05 02:03:08.553912+00
1d542a0f-3efc-4023-b05a-97a1b23f98d5,Huawei 5G CPE Pro 2,Роутеры,CPE-1212,0,20,80,A,13,F,critical,2025-11-10 13:31:13.580234+00,68db2e0c-1613-41ae-a22c-4959cbb08fe6,2025-11-05 02:10:45.286394+00
1b0db854-2631-4d3a-8c49-633178593431,Apple iPhone 15,Смартфоны,Apple iPhone 15,55,20,80,A,12,A,low,2025-11-10 13:56:01.205366+00,1c21be0f-7a41-4fd2-98f6-829a3308a50a,2025-11-06 18:28:27.190154+00
1cd3add8-961f-4117-8e10-b56e63ad93da,Apple iPhone 15,Смартфоны,RTK-294101,68,20,80,A,11,A,low,2025-11-10 13:54:46.790734+00,1c21be0f-7a41-4fd2-98f6-829a3308a50a,2025-11-06 18:28:07.722639+00
be45d43c-1594-493b-a71d-a689f504f6b7,Товар 1,Оружие,Product1,32,20,80,A,15,B,low,2025-11-10 13:51:37.714777+00,1c21be0f-7a41-4fd2-98f6-829a3308a50a,2025-11-10 00:59:07.081049+00
26c88f2f-d08b-425c-9158-fa618a9370c9,Dell UltraSharp U2723QE,Мониторы,DEМО-375504,0,20,80,A,10,F,critical,2025-11-10 13:57:32.901477+00,68db2e0c-1613-41ae-a22c-4959cbb08fe6,2025-11-05 02:09:18.934521+00
4e5a9f30-f665-40a3-b15c-a6e9cf7250b6,Apple MacBook Pro 14 (M3),Ноутбуки,APНО-809570,0,20,80,A,10,A,critical,2025-11-10 13:43:00.796933+00,68db2e0c-1613-41ae-a22c-4959cbb08fe6,2025-11-05 02:01:57.216632+00
50d2595c-facf-4bfa-a1c3-bddb3abcdc09,OnePlus 12,Смартфоны,ONСМ-539898,0,20,80,A,10,B,critical,2025-11-10 13:39:59.461043+00,68db2e0c-1613-41ae-a22c-4959cbb08fe6,2025-11-05 02:02:45.523206+00
e5157182-a738-4780-9219-15c4d2243fb1,Samsung Galaxy S24,Смартфоны,SAСМ-897549,0,20,80,A,12,B,critical,2025-11-10 13:47:28.908087+00,68db2e0c-1613-41ae-a22c-4959cbb08fe6,2025-11-05 02:04:47.78808+00
56e5261e-2e8f-4a05-a931-8e9441cf8c09,Samsung Galaxy A55,Смартфоны,RTK-997315,66,20,80,A,10,A,low,2025-11-10 13:51:56.928307+00,1c21be0f-7a41-4fd2-98f6-829a3308a50a,2025-11-06 18:27:42.394842+00
ef365d0c-803e-40be-921d-b22b54707e7d,Logitech G502 X Lightspeed,Мыши,LOМЫ-399105,0,20,80,A,11,D,critical,2025-11-10 13:54:46.421534+00,68db2e0c-1613-41ae-a22c-4959cbb08fe6,2025-11-05 02:05:56.826182+00
1fb2ad27-e866-4300-ad7e-96d6e311b754,HP 280M Wireless Mouse,Мыши,HPМЫ-161324,0,20,80,A,10,A,critical,2025-11-10 13:59:15.449029+00,78b74b5c-e459-4f23-b196-79e2b104375d,2025-11-05 02:46:35.553726+00
ed4847d1-a6f2-4025-8445-8b1ccff5a84c,Synth Product 1,Toys,ART-489713,398,39,611,17,5,7,ok,2025-11-10T14:11:00.608538+00:00,68db2e0c-1613-41ae-a22c-4959cbb08fe6,2025-07-29T14:11:00.608538+00:00
156fb299-5bd5-498a-b5f3-9c0fd6886d47,Synth Product 2,Beauty,ART-785024,286,28,579,14,39,5,ok,2025-11-10T14:11:00.609352+00:00,68db2e0c-1613-41ae-a22c-4959cbb08fe6,2025-08-25T14:11:00.609352+00:00
afdc5175-fe49-4401-b4fc-845b4a535cff,Synth Product 3,Tools,ART-264294,252,25,427,18,39,6,ok,2025-11-10T14:11:00.609673+00:00,78b74b5c-e459-4f23-b196-79e2b104375d,2025-05-16T14:11:00.609673+00:00
8261df7c-fee6-4c23-8a21-29916c9627ab,Synth Product 4,Toys,ART-304514,295,29,455,2,28,8,ok,2025-11-10T14:11:00.609876+00:00,78b74b5c-e459-4f23-b196-79e2b104375d,2025-09-18T14:11:00.609876+00:00
d23328b5-7a33-4cfb-b99c-9d1366e36e55,Synth Product 5,Grocery,ART-248706,422,42,541,15,35,4,ok,2025-11-10T14:11:00.610057+00:00,78b74b5c-e459-4f23-b196-79e2b104375d,2025-09-16T14:11:00.610057+00:00
