id,name,warehouse_id,scheduled_at,shipped_at,quantity,status,customer,notes,created_at
6da37460-2685-4053-a6ba-cc98f6fb42e1,Auto shipment 2025-11-05T02:00,,2025-11-05 02:02:19.240507+00,,2,scheduled,,Generated by scheduler,2025-11-05 02:02:19.255784+00
83b1df3c-3be9-4b5d-9071-baab70c884e7,Auto shipment 2025-11-05T02:10,,2025-11-05 02:10:33.950731+00,,8,scheduled,,Generated by scheduler,2025-11-05 02:10:33.96632+00
14f78c14-08f5-4a6b-8b74-911f7103ec2b,Auto shipment 2025-11-05T02:20,,2025-11-05 02:20:28.855158+00,,9,scheduled,,Generated by scheduler,2025-11-05 02:20:28.87067+00
f3fd88c7-1906-446c-b56a-b14d6b4e4554,Auto shipment 2025-11-05T02:30,,2025-11-05 02:30:48.945331+00,,9,scheduled,,Generated by scheduler,2025-11-05 02:30:48.961158+00
86700f55-9de5-4037-9304-6f579482d098,Auto shipment 2025-11-05T02:40,,2025-11-05 02:40:30.612406+00,,9,scheduled,,Generated by scheduler,2025-11-05 02:40:30.628998+00
8830f334-c863-4035-a2d1-720641fc85fe,Auto shipment 2025-11-05T02:50,,2025-11-05 02:51:24.0768+00,,10,scheduled,,Generated by scheduler,2025-11-05 02:51:24.100765+00
01bea201-f99d-4c5a-9937-ba2163e1741e,Auto shipment 2025-11-05T03:00,,2025-11-05 03:00:16.992609+00,,10,scheduled,,Generated by scheduler,2025-11-05 03:00:17.011315+00
a51fcda8-ba33-43de-affd-1de346a3a20b,Auto shipment 2025-11-05T03:10,,2025-11-05 03:14:47.812016+00,,10,scheduled,,Generated by scheduler,2025-11-05 03:14:47.833366+00
d6e65cb0-0d5a-400e-a23e-71775f92f6d7,Auto shipment 2025-11-05T03:20,,2025-11-05 03:20:32.716689+00,,10,scheduled,,Generated by scheduler,2025-11-05 03:20:32.738374+00
448f4ba6-217f-404c-aaca-daa3e0c6b1a4,Auto shipment 2025-11-05T03:30,,2025-11-05 03:30:54.465378+00,,10,scheduled,,Generated by scheduler,2025-11-05 03:30:54.482182+00
d0ad7a4b-1889-474f-926a-ccac54675b72,Auto shipment 2025-11-05T03:40,,2025-11-05 03:40:14.418871+00,,10,scheduled,,Generated by scheduler,2025-11-05 03:40:14.435134+00
515e5cba-f38a-497e-8326-4680ad752ab1,Auto shipment 2025-11-05T03:50,,2025-11-05 03:50:36.860476+00,,10,scheduled,,Generated by scheduler,2025-11-05 03:50:36.876919+00
7e12acd7-1282-40dd-a5a8-2d8bd3fbc74e,Auto shipment 2025-11-05T04:00,,2025-11-05 04:00:59.512438+00,,10,scheduled,,Generated by scheduler,2025-11-05 04:00:59.528533+00
c3e6310f-41a9-459e-96f4-213e5f2fe4a2,Auto shipment 2025-11-05T04:10,,2025-11-05 04:10:20.63411+00,,10,scheduled,,Generated by scheduler,2025-11-05 04:10:20.654535+00
025e2c23-a6e2-4ddb-a81e-f1c7f278e408,Auto shipment 2025-11-05T04:20,,2025-11-05 04:20:43.926685+00,,10,scheduled,,Generated by scheduler,2025-11-05 04:20:43.943828+00
47871fcf-ccf9-440e-9675-1b721f1cf280,Auto shipment 2025-11-05T04:30,,2025-11-05 04:30:05.440576+00,,10,scheduled,,Generated by scheduler,2025-11-05 04:30:05.459266+00
63c25c1a-6321-4383-98d0-240e355ed4d8,Auto shipment 2025-11-05T04:40,,2025-11-05 04:40:29.546533+00,,10,scheduled,,Generated by scheduler,2025-11-05 04:40:29.566077+00
d3d9727c-6a3d-4e9a-b6ea-53459e1e8c05,Auto shipment 2025-11-05T04:50,,2025-11-05 04:50:53.793369+00,,10,scheduled,,Generated by scheduler,2025-11-05 04:50:53.812479+00
0ffd58b6-147b-4b78-bb24-241b0ff03eb6,Auto shipment 2025-11-05T05:00,,2025-11-05 05:00:16.10611+00,,10,scheduled,,Generated by scheduler,2025-11-05 05:00:16.123069+00
3c389984-ea72-4c37-8a76-4555b5664f3b,Auto shipment 2025-11-05T05:10,,2025-11-05 05:10:40.964031+00,,10,scheduled,,Generated by scheduler,2025-11-05 05:10:40.980917+00
cf5de4fd-a10b-4707-850d-e08be02c1299,Auto shipment 2025-11-05T05:20,,2025-11-05 05:20:03.385041+00,,10,scheduled,,Generated by scheduler,2025-11-05 05:20:03.401316+00
fd80868a-792f-4318-a036-556b64a6bc53,Auto shipment 2025-11-05T05:30,,2025-11-05 05:30:27.964821+00,,10,scheduled,,Generated by scheduler,2025-11-05 05:30:27.980551+00
eb4b5701-7339-4863-a608-f6c14d267cbf,Auto shipment 2025-11-05T05:40,,2025-11-05 05:40:52.979853+00,,10,scheduled,,Generated by scheduler,2025-11-05 05:40:52.996512+00
a920b69f-d0c0-4ce5-a070-4b490803344d,Auto shipment 2025-11-05T05:50,,2025-11-05 05:50:16.072722+00,,10,scheduled,,Generated by scheduler,2025-11-05 05:50:16.089328+00
0a34f44e-e325-4458-8760-d8dd1025cbd4,Auto shipment 2025-11-05T06:00,,2025-11-05 06:00:40.99433+00,,10,scheduled,,Generated by scheduler,2025-11-05 06:00:41.011926+00
40cb558b-510c-4bc7-ad70-76ff0f163041,Auto shipment 2025-11-05T06:10,,2025-11-05 06:10:04.422327+00,,10,scheduled,,Generated by scheduler,2025-11-05 06:10:04.438432+00
3115a317-f001-4995-afb9-2da6107a7dd9,Auto shipment 2025-11-05T06:20,,2025-11-05 06:20:29.766604+00,,10,scheduled,,Generated by scheduler,2025-11-05 06:20:29.78593+00
48d859e0-012c-4c48-8ab6-91586979bcb7,Auto shipment 2025-11-05T06:30,,2025-11-05 06:30:55.071904+00,,10,scheduled,,Generated by scheduler,2025-11-05 06:30:55.091264+00
ea2c02d4-80b7-4b71-98f4-1d3f5c4bec90,Auto shipment 2025-11-05T06:40,,2025-11-05 06:40:18.865891+00,,10,scheduled,,Generated by scheduler,2025-11-05 06:40:18.883617+00
95ed0ea2-076f-4731-87cb-3da626d3a5fd,Auto shipment 2025-11-05T06:50,,2025-11-05 06:50:44.672062+00,,10,scheduled,,Generated by scheduler,2025-11-05 06:50:44.688417+00
0cf2fb63-e884-423a-999f-7acddbfcb70b,Auto shipment 2025-11-05T07:00,,2025-11-05 07:00:08.564142+00,,10,scheduled,,Generated by scheduler,2025-11-05 07:00:08.58121+00
1400afd5-7286-47cd-9840-30564653a2db,Auto shipment 2025-11-05T07:10,,2025-11-05 07:10:34.613693+00,,10,scheduled,,Generated by scheduler,2025-11-05 07:10:34.632725+00
31a7561d-2eec-449d-960c-75e1bf996823,Auto shipment 2025-11-05T07:20,,2025-11-05 07:21:00.795283+00,,10,scheduled,,Generated by scheduler,2025-11-05 07:21:00.812597+00
91838dd9-617d-476a-8f21-e1f3e25a087b,Auto shipment 2025-11-05T07:30,,2025-11-05 07:30:24.774829+00,,10,scheduled,,Generated by scheduler,2025-11-05 07:30:24.791758+00
a4884632-4448-49dd-b064-09a3c33af30d,Auto shipment 2025-11-05T07:40,,2025-11-05 07:40:51.077584+00,,10,scheduled,,Generated by scheduler,2025-11-05 07:40:51.0943+00
903084b2-e711-49a2-a778-3be251e6bdd5,Auto shipment 2025-11-05T07:50,,2025-11-05 07:50:15.513041+00,,10,scheduled,,Generated by scheduler,2025-11-05 07:50:15.529426+00
f7722473-dd35-4e21-a335-8ee3d265e218,Auto shipment 2025-11-05T08:00,,2025-11-05 08:00:41.898044+00,,10,scheduled,,Generated by scheduler,2025-11-05 08:00:41.914798+00
4abb8af4-833b-4efa-b25d-0668b66a7247,Auto shipment 2025-11-05T08:10,,2025-11-05 08:10:06.545144+00,,10,scheduled,,Generated by scheduler,2025-11-05 08:10:06.560951+00
ef1e4826-99dd-47dd-bb05-7ce98f4f045a,Auto shipment 2025-11-05T08:20,,2025-11-05 08:20:33.119098+00,,10,scheduled,,Generated by scheduler,2025-11-05 08:20:33.136166+00
6431b0ba-3ab9-4b11-8b1b-68f547407fea,Auto shipment 2025-11-05T08:30,,2025-11-05 08:30:59.994747+00,,10,scheduled,,Generated by scheduler,2025-11-05 08:31:00.011216+00
749c1f6c-d208-4ac9-8582-0068e9451051,Auto shipment 2025-11-05T08:40,,2025-11-05 08:40:24.779811+00,,10,scheduled,,Generated by scheduler,2025-11-05 08:40:24.7966+00
8b2e6fc7-bf85-40e2-9ed7-661ff32acd3b,Auto shipment 2025-11-05T08:50,,2025-11-05 08:52:09.303202+00,,10,scheduled,,Generated by scheduler,2025-11-05 08:52:09.324964+00
9bd33cd2-f880-4857-b338-857143fe3105,Auto shipment 2025-11-05T09:00,,2025-11-05 09:08:52.081725+00,,10,scheduled,,Generated by scheduler,2025-11-05 09:08:52.108285+00
